David J. Stewart

Glen Shadix
Eric Linden
Bo Brundin
Stanley Livingston
Robin Harris
Bernard Cribbens
Winona Ryder
Valentine Nonyela
Wilhelmena Wiggins Fernandez
Sir Thomas Beecham
Helena Bergstrom
Nancy Kovack
Jane Scott
Jennifer Beals
Jane Krakowski
Edmund Hashim
Tommy Rile
Karen Silas
Mary Hatcher
John Chandos
Michael Hodern
John Landis
Donna Dixon
Dabney Cole
Valentine Tessier
Graim Williams
Anne Ramsey
Rene Kollo
Milos Addica
Helmut Berger
James Cruze
Roberto Benigni
David Janti
Gracie Allen
Larry Maxwell
Eileen Brenner
Truong Thi Loc
Joan Davis
Baccaloni
Eddy Debray
Jace Alexander
Malco Keen
Geoffrey Copleston
Eric Stoltz
Michel Duchaussoy
M.~Maxudian
Richard Denning
Arthur Byron
Don Russell
Jamie Tirelli
June Lang
Caroline Goodall
Girish Karnad
John Pankow
Chill Wills
Robin Mattson
Jane Hitchcock
Julianna Lavin
Gina Hecht
JoeBeth Williams
Setsuko Hara
Isla Cameron
Susanna Foster
Touch Connors
Derrick deMsrney
Donald Murphy
Ola Norell
Nick Corri
Maureen OSullivan
Tracy Scoggins
Nick Stahl
George Tobias
Richard Bright
Thomas Jane
Marpessa Dawn
Camille Soeberg
Art Hindle
Bruno Emanuel Palmi
Raymond Burr
Mary Maya
Hugh Burden
Sheila McCarthy
Doris Weston
Ann Wedgeworth
Buddy Rogers
Alain Cuny
Bernadette Lafont
Guido Trento
Jemma Redgrave
Clive Revill
Ursula Jeans
Sir Guy Standing
Rishi Kapoor
Rae Allen
Anna Sten
Eileen Brennan
Ernest Dorian
J.Edmund Bromberg
Abe Vigoda
Andrew Cruikshank
Andr\'e Gregory
Paul Valentine
A.E. Matthews
Peter Brocco
Cecil B. DeMille
Shelley Fabares
Ray Brooks
Eliza Garrett
Yvette Guilbert
Judy Cornwell
Jack Gwillin
Jack Starrett
Willoughby Gray
Sid Silvers
Jay Robinson
Serf Sezer
Elizabeth Marshall Thomas
Janet Henfrey
Son Hoang Bui
Gladys duBois
Rudy Vallee
Robert Maplethorpe
Irving Bacon
Dorothy Malone
Jean Rene Gossart
Kenny Baker
Jerome Cown
Jan-Michael Vincent
Clare Binney
Rick Aviles
Ruth Hussey
William Orlamond
Annabella Incontrera
Charles Bell
James Ellison
Morgan Sheppard
Pierre Londiche
John Cullum
Ele Grigsby
Frank Sully
Dana WheelerNicholson
Fuzzy Knight
David Hewlett
Tom Wright
Tom Noonan
Moyra Fraser
Frederick Burton
Harry Morgon
Joanna Shimkus
Derek Farr
Maria Charles
Alexis Carrington
Lotus Weinstock
Cecila Brady
Martine Carroll
Francesca Moreira de Silva
Johanna TerSteege
Mary Peach
Gary Cromwell
CeCe Tsou
Tom Hollander
Carrie Mullan
Charles deRoche
Gailard Sartin
Melanie Griffith
Shorty Rogers
Jinpachi Nezu
Julianne Nicholson
Sybil Rhoda
Michael Liebman
Judith Wood
Chris Robinson
Lupe Ontiveros
Robert Lowry
Ricard Wattis
Clint Walker
James Cagney
Dale Miki
Henry Bergman
Timothy Farrell
Mary Grace Canfield
Robin Lynne Raab
Laurel Goodwin
Margaret Leighton
x x
Jaquline Delubac
Louis daPron
Jaimz Woolvett
Henry Oscar
Kiranmala
Clare Bloom
Suzanne Costallos
Charlotte V\'ery
Paul Frankeur
Madeleine Lebeau
Tatania Papamoskou
Elena Vertugo
Adele Mara
Sam Gilmore
Larry Cedar
Freda Fon Shen
Bricktop
Vera Taichi
Cyntia Cruz
Frank Converse
Toby Wing
Kevin Kline
Arthur Penn
Arthur Hohl
John Harkins
Harry Dean Stanton
Henry Travers
Dinah Shore
Nathalie Roussel
Guy Boyd
Betty Kennedy
Katherine deMille
Martin Sheen
Willard Pugh
Henri Marteau
Barry Keyy
Sophie Thompson
Irene Handl
Allan Cuthbertson
Steve Brown
Terrence McNally
Merle Haggard
The Vienna Boys Choir
John Schuckk
Paul Muni
Georgina Cates
Art Baker
Chris Eigemann
Juliet Berto
Robert Patten
Joe Cortese
Marsha Mason
Candy Azzara
Carrie Lowell
Ian MCNeice
Marisa Mell
Gr\'egoire Aslan
Patty Duke
Danielle Harris
Arne Sucksdorff
Marilyn Maxwell
Charlotte Valandrey
Johnny Eck
George Morfogen
Ann Michele
Robert J. Steinmiller~jr.
Richard Allan
Jouce Carey
Sophia Loran
Hardie Albright
J. Carrol Naish
Grace Kelly
Dick Sargent
Johnny Mack Brown
Daniel Sarky
Kevin Pollak
Michele Hicks
Ben Hendricks~jr
Brooks West
Dan Collier
Randolph Kim
Donna Wilkes
Dick York
John Gilbert
Helena Dryden
Madelaine Lebeau
Danielle Oimet
Dan Daily
Christiane Hoerbiger
Tai
Chris Penn
Jennifer Aspen
Brandon Lee
David Gennon
James Dreyfus
Harry Fowler
Alive Faye
Sara Moniel
Tyrone Power~sr.
Jeanettte MacDonald
Bitty Schram
Emma Gramatica
Valentina Frascaroli
Enrico Caruso
Ralph Forbes
Frank Capra
Tony Simotes
Karl Platen
Nils Asther
William Schallert
Stella Pacific
Marcel L\'evesque
Alicia Witt
Taine Ely
Mickey Hargitay
Christopher Kent
Marilyn Buferd
Zoe Tamerlis
Essy Persson
Kurt Russell
Babe Didrikson Zaharias
Margaretha vonTrotta
Albrecht Bras
Geraldine Keame
Michael Gazzo
John Litgow
Ivan bonar
Luana Alcaniz
Carlo Brandt
Sophia Loren
George Morfogan
A.E. Mathews
Rod LaRoque
Audrey Totter
Bill Campbell
Frank Sangella
Deborah Raffin
Thomas Jay Ryan
John Wray
Maxwell Caulfield
Tadao Takashima
Louis diBianco
Debra Monk
Anthonu Pozzini
Robert Quarray
David Reynoso
Charles Bickford
Alex McCrindle
Iggy Popp
Will Fyffe
Hans Lothar
Margaret Livingston
Kenry Kolker
Giovanni Guidelli
Serena Grandi
Chester Conklin
Barbara Kent
Skip Young
Norman Chancer
Amanda Duff
Farnk Conroy
Harley Kozak
Molly Shannon
Ann Parillaud
Barboura Morris
Jay Adler
Louis Prima
Tatsya Nakadai
Paul Mantee
Dale Walsh
Cesare Danova
David Kosoff
Coleen Gray
Purnendu Mukherjee
James Cossins
Hlomers Herbert
Arsenio Hall
Frank Runyon
Man\`e Garrincha
Brigid Bazlen
Bennie Bartlett
Robert Lowey
Keuanu Reeves
Tom Drake
Marta Flores
Buster Phelps
Ronald Simpson
M. Warkles
Channing Stockard
JeanPierre Melville
Helen Morgan
Bill Slack
Juliette Mayniel
Maggie McNamara
Thelma Hopkins
Biff McGuire
Andrew PIne
Claudia McNeil
Lyle Waggoner
Don Pedro Colley
Feather
Henry Escalante
David Gennan
Tommy Kelly
Lainie Kazan
Tyne Daly
Michael Keaton
Guy Pearce
Karen Verne
Carlos Thompson
Thomas McCarthy
Jean Seberg
Kimberly Scoll
Russ Brown
Kieu Chinh
Earle Williams
Ann Meara
Emmanu\`elle Rivas
Mike Nomad
Coleen Miller
Will Geer
Auriol Lee
Romolo Valli
Olive Carey
Greta Scacchi
Eddie Anderson
Kurt Katch
Ray Montgomery
Else Kentner
John Castle
Messer Banzani
Gail Kobe
Peggy Lipton
Lucien Prival
Wendell Corey
John Nolan
Tony Scotti
Bill Kraus
Anna May Wong
Max Tidof
Andre Borzei
Arthur Shields
Florence Stanley
Lynne Overman
FRankie Howerd
Stuart Erwin sr
Mathew L. Perry
Julliette Lewis
L. Paul
Earl Schevk
Richard Chavez
Teusday Weld
Robert Foxworth
Mike Bradford
Jan Decleir
Margaret Welsh
Rita Tushingham
George Wendt
Katie Johnson
Michael Gwynn
David Arquette
Adrienne Cori
Loes Wouterson
Lara Mulcahy
Godrey Cambridge
Caroline Silva
Jean Baptiste Huan
Paul Cavanagh
Larry
Mary Merrall
Corinne Griffith
Margaret Johnson
Valerie Wallis
Jill Kennington
Miles Anderson
Clelia Weston
Neil Giuntoli
Albert Sharpe
Vittoroa deSica
Agnes Morehead
Tracy Reed
Keith Richards
Frances Drake
Kate Bruce
Rob Scheider
Kirstin Griffith
Juan deMarco
Juliette Fabre
Charles Grodin
Patty Luponi
Hal Reid
Anna Proclemer
Bunin's Puppets
Tsai Chin
Gary Morton
Eddie Hodges
Hilde W\"orner
Garry Shandlng
Lolita Davidoitch
Peter Jason
Roger Grimsby
Gloria Shea
Joanna Going
Lise Cutter
Timothy Botoms
Dave OToole
Olivia NewtonJohn
Gilda Grey
Mona Malm
Mauritz Hugo
Julianne Moore
Patricia Neal
Simon delaBrosse
Darryl Hannah
Charlie CreedMiles
Glenn Fitzgerald
Bob Fosse
Roger Gray
Maria Tallchief
Arlene Francis
Phillippe Clevenot
Kate Judson
Burt Brinckerhoff
Ellis Irving
Ori Levi
Frederich S. Pierce
Tom
Brian Jackson
Matthiau Demy
William Eagle Shirt
Michael Beach
Gustav vonWangenheim
Johny Lever
Maria Shriver
John Hammond
Fulton Mackay
Artie Lang
Raymond Singer
Silvain
Cameron Diaz
Sigrid Neiiendam
Freddie Prinze~jr.
Kent Douglass
Shirley Smith
Tran Ngoc Trung
Judi Dench
Eva Siva
Don Douglas
Bernard Fein
Sihung Lung
Leonid Kinskey
W.E. Holloway
Susan Farmer
Warwick Buckland
Audrey Christie
Jane Lang Bauer
Whit Bissell
Arthur Dignam
Richard Erdmann
Roger Davis
Christian Rub
Elizabeth Ashley
Paul Smith
Leonor Varela
Artur Franz
William Shatner
Alfredo Varelli
Suzy Delair
William Ragsdale
Mervyn Jones
Felix Felton
Sheila Allen
Kristine DeBell
Corinna Tsopei
John Phillips
Charles Boyer
Jessie Royce Landis
Jonna lee
Alexandra Stwart
Pedro deCordoba
Martin Stephens
Lee Hassen
Kiki de Montparnasse
Joe Mantegna
Marie Drssler
Jason Segel
Larry Blake
Eleanor Brown
Bernard Fresson
Trigger
Charles DMmcGraw
Charles Coleman
Salome Jens
Samuel Froler
Charles Dullin
Herbert Fritsch
Manuela Velasco
Patric Knowles
Herbert Robinson
Kate Jackson
Blair Brown
Wolfe Barzell
Salavtore Baccaloni
Polly Kemp
Gilles Privat
Tate Donovan
Cecil Sorel
Lita Milan
Anna Quayle
Keenan Ivory Wyans
Uwe Ochsenknecht
Joey Walsh
William Squire
George Shevstob
Jeno Mate
Pia Degermark
Susan Norman
Frank Powell
James Hayter
Uma Turman
Sarah Michelle Gellar
Vanessa Williams
Leslie Daniels
Kynsta Geer
Omar Sharif
Brian Hall
Ozzie Davis
Eileen Wilson
Dan Barrett
Angela Cartwright
Terrence `T.C.' Carson
Rupert Davies
Bob Balaban
Angela Clarke
Susan Gordon
John Turner
Kukrit Pramoj
Sho Kosugi
Diana Sands
Diane Wynyard
Gustav Grundgens
Catherine Nelson
William Austin
Pat OBrien
Jack Palance
Maynard Eziaishi
Jeff Richards
J.Farrell McDonald
Hugh mcDermott
Kim Catrell
Jip Wijngaarden
Eva Moore
Massimo Girotti
Alison Kraus
Lenne Headley
Jean Richard
Sidney Poitier
Michael Craig
Alberto Soldi
Ida Moore
Barry Beckerman
William Post~jr.
Lisa Blount
Dorothy Coonan Wellman
Richie Coster
Lynn Whitfield
Desmond Tester
Richard Chamberlain
Elliott Dexter
Asta
Dante Basco
Herman Bing
Mackenzie Ward
Art Carney
Grazia Cucinotta
Paul Shaffer
Hannah Jones
Marcia Rodd
Peppino deFilippo
Mimi Rogers
Yvonne Rainer
Kevin Kostner
Dan Stroud
Whitney Blake
Gemma Jones
Stefania Casini
De Laete
Regina Carrol
Kenneth MacKenna
Genevieve Sorya
Doctor Dre
Kati Kurado
Merret Oppenheim
Kenneth Colley
Alfie Bass
Bobby Parr
Kay Christopher
Dick Ryan
Rory Mallinson
Jaques Boudet
Charmian Carr
Evan Rachel
Todd Solondz
Sonny Barger
Maria Pitelli
Linda Hayes
Dustin Farnum
Cameron Milzer
Johnny Downs
Beatrice Ronand
Seena Owen
Judy Kelly
Pete Postlewhite
Jason Edwards
Bert Freed
Chris Rock
Ron Rifkin
Brad Rinn
Adolph Zukor
Al Ruscio
Taryn Power
Nick Nicholson
Aleka Catselli
Noel Neill
Grant Warnock
Frank Darien
Millard Mitchell
Jeffrey Stone
Jill Baker
Jane Morris
Matthew Walker
Sandy Duncan
Leon Isaac Kennedy
Eric Fryer
Mathew Modine
Delores Taylor
Massimiomo Girotti
Sondos Belhasseni
Catherine Frot
Melvin VanPeebles
Edna May Oliver
Bill Burrows
Bobby deCico
Little Richard
R.Bolla
Bert Convy
Bholanath
Zoe Nathanson
Douglas Kennedy
Lea Thompson
Tyra Ferrell
Carl Lee
Ross Hagen
Harry Myers
Jane LaVerne
Louise Pounds
Lincoln Kirkpatrick
Akihiro Maruyama
Tom Tully
Glenn Plummer
Patrick McGohannon
Don S. Davis
T.C. Jones
Heather Tobias
Lewis Casson
Virgina Madsen
Stephanie Beecham
Matt Malloy
Jaques Francois
Desiree Becker
Ray Middleton
Santos Morales
Doro Merande
Stefan Schnable
Stephen Haggard
Richard Rust
Marta duBois
Vampyra
Nedda Harrigan
Ralph Ludwig
Arthur Riscoe
Luca deFillipo
Kym Karath
Mae Questel
Soh Yamamura
Ian Anderson
Robert Kellard
Felicia Farr
Ben Affleck
Johnathon Schaech
Michell Pfeiffer
Bernie Hamilton
Assumpta Serna
Jeffrey Hayes
Roland Downey~jr
Jane Movak
Donald Pleasance
Anthony Nicholls
Elisabeth Depardieu
Leonard Weinrib
Katherine Helmond
R.H. Thompson
Dorothy Vaughn
Matahi
Marcel Iures
Charles Lamy
Jerome Tata
Tiny Lister~jr.
Joseph DOnofrio
Georges Wilson
Pyotr Zaichenko
Kate Beckinsale
Julia MigenesJohnson
Richard Tauber
Dave Hill
Nancy Guild
Michael Ripper
James Gardner
Josephine Hull
Peter Richardson
T.K. Carter
Gilbert Gottfried
Mos Def
Fikret Kuskan
Elena Bogdanova
Jorge Perrugorria
Eric Brown
Mary Kay Place
Michael Rosenbaum
George Petrie
Marguarite Lewr
Jim Jarmusch
Maria Castiglione
Jill Clayburgh
Admiral Nimitz
Delia Garces
Ian Holmes
Ryan Phillippe
Chief Dan George
Gary Lahti
Hunter Carson
Yuji Okumoto
Raymond Gerome
Anita Sanders
Charles Lane
Luis Beristain
Gummo Marx
John Garfield
Edith Storey
Anthony Bushnell
Michael Stipe
Patricia Morrison
Nicholas Ray
John Glover
Bernie Coulson
Helen Mack
Paul Fix
Alexandra Khokholva
Bruce Bennett
David Torrence
Tilda Swynton
Lois Areno
Robert Goulet
Assumpta Serra
Lex Barker
Jon Turturro
Burt Kwouk
Jessica Liedberg
Ken Narasaki
Lili Palmer
Georges Poujouly
Hermann Thimig
Gene Roth
Hans Grimm
Miguel Ferrer
Bruce Weitz
Herschel Bernardi
Morris Day
Jack Hulbert
Emelio Estevez
Duncan Lamont
Paul Fox
Ricard Murdoch
Peter Hugo
Lionel Barrymore
Martin Potter
Craig Bierko
Juan Echanove
Avril Nagers
Anthony George
Lee Patterson
Henry Shipes
Elisabeth Berkin
Josef Sommer
Burgess Meredith
Al Lewis
Jack Mullaney
Reed Hadley
El Hedi Ben Salem
Barbara Bosson
George Newbern
Deborah Power
Shane Rimmer
Rosanna Podesta
Edwin Maxwell
Adam Goldberg
Stephen Liska
Kay Lenz
Frances Fisher
Robert McKim
Alun Lewis
Philippe deBroca
Ron Cook
John Bentley
Jack Norman
John Dudgeon
John Smith
Alfred Burke
Cui Zhihgang
Liesel Mathews
Richard Quine
Jeanne Eagels
Larry Davis
Narfis
Mary Beth Hughes
Charles Bateman
Chino Fats Williams
Genevieve Brunet
Susan Kohner
eskimos
Kenneth McMillan
Gregory Hines
Philip Reed
Gudmar Wivveson
Olle Sarri
Henry Morgan
Betty Davis
Judy Huxtable
Victor Jory
Andre Braugher
Betty Woods
Steve Dunne
Luis Miguel Dominguin
Cantinflas
Kevin Spacey
Felicity Huffman
Jane Wenham
Mona Berrie
Giampiero Albertini
Edith Meeks
Stig Olin
Goerge Tobias
Gordon Jump
Gertrude Olmsted
Christopher Rozycki
Riccardo Rioli
Billy Wilson
George Relph
Jean Gabin
Luke Perry
S.Epatha Merkerson
Ben Model
Clancy Brow
Ludmilla Tselikovskaya
Harmony Korine
Patrick Floersheim
Skeets Galagher
Lillian HallDavis
Elizabeth Pena
Olivia deHavillan
Lauren Tewes
James Mulhollin
Jeanette Nolan
Nan Grey
Bo Svenson
Chistopher Collen
Ruth Donelly
Gregory Gaye
Mercedes Ruehl
Kristy McNichols
Jeanne Triplehorn
Carmen Scarpitta
Michael Chekhov
Allen Daviau
Francis Capra
Effie Shannon
Dan OBannon
Victor Madden
Niholas Cage
Sabine Sesselman
Frank Perry
Leslie Dwyer
Stephen Dorff
Thierry Lhermite
Ben Becker
Dizzy Gillespie
Alice Krige
Bob Nelson
Nigel Bruce
Wayne Robson
Carl Edmond
A.E. GouldPotter
Robert Sampson
Norman Shelley
Florenz Ziegfield
Cherry McClain
Susan SaintJames
Pierre Renoir
Fritz Wepper
Juliet Aubrey
Ursula Straetz
Troy Donahue
Gulio Garbinetti
Elizabeth Wilson
Linda Larkin
Omero Antonutti
Morgan Woodard
Maurice Manson
Anthony Holland
Loren J.
Akira Terao
Ruth Swanson
Sonic Youth
James Frein
Warren Sayre
Galyn G\"org
Elle Macpherson
Douglas Wilmer
Arturo deCordova
Alistair Cooke
Alan McNaughton
Marianne McAndrews
Luis Caballero
Robert Berger
Chris Haywood
Glynis Jones
Larry Wright
Hiroshi Fujioka
Lena Olin
Kathy Shower
Lee Majors
Fred Thompson
Richard Lane
Carlo Battisti
John MacKay
Veronica Hurst
Mark Rydell
Morgan Fairchild
Tina Russell
Lance Kerwin
Mickey Rourke
Robert Joy
Margaret Collen
Dana Ivey
Joe Don Parker
Dora Doll
Lana Marconi
Marilyn Miller
Bill Wallis
Lil Dagover
Renate Steiger
Michael Jenn
Friedrich Feher
Ayub Khan Din
Robert Downey
Jaques Weber
Bethel Leslie
Maria Conchita Alonso
John Pinette
Eddie Kantor
Pino Campaninin
Hippolyte Giradot
Leueen McGrath
Armando Silvestre
Mike Mazurki
Grace Bradley
Judith Anderson
Roselyne Puyo
Tita Purdom
Diane Clare
Bernard Hughes
Adrienne Barbeau
John Hillerman
C.D. Daley
Julien Carette
Mathew Robbins
Chuck Yeager
Karin Kienzler
Susana Canales
Danny Aieollo
Omer Simsek
Freeman King
Carrol Baker
Ari Megro
Fred McMurray
Mercedes McCambridge
Maria Pia Casilio
Micket Shaughnessey
Ingrid Bergman
Dylam McDermott
Vera Zorina
Richard Griffiths
Sybille Schmitz
House Peters
Adi Berber
John Payne
John Barrymore
Dorithy McGuire
Don Defoe
Michael Rooker
Elyssa Davalos
Elvis Payne
Liza Weil
Harry Welchman
Margo Solin
Julien Ciamaca
David Naughton
Davis Tomlison
Robert Walden
Muriel Angelus
Kurt Kreuger
Gunter Lamprecht
Roberta Vasquez
Barbara Chilcott
Jackie Joseph
Giulietta Masina
Femi Fatoba
Irene Ryan
Louise Platt
George Barnes
Sue Wallace
Mary Ure
James Hong
Mario Pasik
Janette Scott
Mer Harris
George Murphy
Sully Bovar
Anna Magnani
John Ingle
Doug Savata
Stephen Collins
Catlin Adams
Dennis Christopher
David Ogden Stiers
Diane Varsi
Harry Coni~jr.
Thomas Chelimsky
Vanessa Redgrave
Elvira Sali
Erich Honecker
Harry H. Corbett
Keith Mitchell
Steven Keats
Charlie Cantor
Damon Martin
Eddie Byrnr
Maurice Schutz
Jennifer Becks
Eddie Byrne
Tony Musante
Bras Gorton
Ethel Merman
Carlin Glynn
Mamadou Diome
Jan Hooks
Ned Weaver
Helen Hunt
William Wright
Danny Verduzo
Suzanne Flon
Robert Urich
Chchabi Biswas
Robert Sacchi
Grant Williams
Shawn Weatherly
Charlie Murphy
Tcheky Karyo
Masour Adani
Andreas Voutsinas
Josef Somner
Marita Hunt
Stuart Pankin
Charlotte Rampling
Albert Finney
Madeleine Scott
Rhetta Hughes
Richard Cromwell
Chester Morris
Roy dArcy
Harry vanZell
Freda Dowie
Norman Bird
Mel Gibson
Edith Scon
Mark Miller
Aneta Corseau
Jason Lee
Susan Forrestal
Bianca Jagger
Raymond OConnor
Marya Small
Liam Aiken
Robert vanLoon
Barbara Weeks
Edith Scob
Jan Niklas
John Shea
Donald Sinden
Sidney James
George Willis
Craig Russell
Donal Donelly
Tabbu
Cliff Gorman
Alex Alan Morris
Leslie Mann
Carol Foreman
Carolyn Murphy
Juanita Hall
Philippe Lemaire
Jaques Marin
Lotus Long
z x
Christen McDonald
Gordon Warnecke
Tom Curry
Abraham BenRub
N. Ben
Hay Petrie
Frederick Kerr
Maria OBrien
Beth Webber
Peter Vaughan
Nancy Carroll
Charles Cooper
Margaret Lindsay
John Ventantonio
Linda Thompson
Gerhard Bienert
Gary Sinese
Will Oldham
Iris Adrian
Jinx Falkenburg
Eileen Way
Amelita Ward Cowan
James Abrahams
Dorothy McNutty
Jack Moss
Jack Gwyllim
Virgina Gregg
Julianne Phillips
Anne Sheridan
Linus Roche
Eugene Palette
Cheryl Carter
George Woodbridge
Bernard Archard
Sheila Johnson
Edward Ruscha
Dawn Dunlap
Mel Smith
Ann Ayars
Chester Clute
Richard Longman
Fred Allen
Virginia Valli
Alejandro Rey
Madeleine Robinson
Connie Gilchrist
K. Ziubkov
Grigori Alxandrov
Cliff deYoung
Ian Fleming
Carlos Judd
Maude George
Hugh Millais
Mario Vitale
Paris Tselios
Debbie Harry
Ali McGraw
George Dolenz
Michael OKeefe
Wayne Morris
Mark Ralston
Capucine
Wilhelm Dieterle
Billy Green Bush
Rhys Jens
Slawomir Linder
Jeffrey Gere
Clifton Young
John Shaw
Corey Feldman
Pamela Duncan
Anna Nicole Smith
Richard Gallagher
Ian Petrella
Tony Basil
Willard Louis
Isela Vega
Babes in Toyland
Brendan Sexton
Janos Kulka
Gene Sheldon
John Carradine
Herbert Ross
Norman Bassington
Dennis Quilley
Sid Caesar
Hope Lange
Dorothy McKegg
Gisela Hahn
Allison Mackie
Eva gaobor
Jussi Bjoerling
Richard Frank
Tristram Coffin
Rinaldo Smordoni
Claudine Melgrave
Kane Richmond
Anders Johnson
Arch Hall~jr
Wendy Makkena
Wanda Ventham
Edgar bergen
Andrea Miano
John Carrol
Ruth Brown
Barbara Crampton
Dudley Remus
Roger E. Mosely
George Segal
Michael Medwin
Leonor Silveira
Clare Greet
Ruth McCabe
Mandy Miller
Paul Lukas
Sammy White
Ren\'e Auberjonois
Vesa Vierikko
T.Graham Brown
Helena Bonham Carter
Eb Lottimer
Jackie Chan
Howard Morris
Mabel Paige
O.P. Heggie
Laurence Dobkin
John Malkovich
Marina Knight
Gena Rowlands
Rebecca Walker
Pat McCormick
Harry Belafonte
Ola Ray
Rachel Weisz
Dmitri Orlov
Michael J. Pollard
Erzsi Pastor
Alastair Sim
Roy Jesse
Luher Adler
Stu Lancaster
Lloyd Hughes
Fats Domino
Lena Headsley
Stuart Hall
Mathilde Seigneur
Eiji Okada
Brian Aherne
Brigitte Valberg
Betsy Mazursky
Jodi Bensen
Paul Meurisse
Theodore VonEltz
Amadeus Fengler
Queenie Vassar
Donna Michelle
Phil Gordon
Michael Vartan
Catherina vonSchell
Sonja Henie
Jean Martin
Sandra Bullock
Ann Turkel
Peter Matthey
Lili St.Cyr
Jurnee Smollett
Willem Defoe
Steve Forrest
Jean Keraudy
Wayne Pere
Paul Bowles
Liam Dunn
Bernadette OFarrell
Arline Judge
Jean Brooks
E-than Phillips
Parkyakarkus
Shelton Knaggs
Steve Mitchell
Barabara Allen
Doris Kunstmann
Edith Evanson
Franco Interlenghi
Greg Evigne
Lenny Bruce
Elsie Ferguson
Woodrow Parfrey
Billy Gray
Justin Wallis
Sinbad
Athol Fugard
Joseph Bennet
Mickey Dora
Kaori Momoi
Heather Langenkamp
Ramblin' Jack Elliott
William `Stage' Boyd
Park Overall
Victoria Hopper
Edward Gargan
Ed Brophy
Bess Armstrong
Carol Grace
Loretta Divine
Rose Alba
Susan Beggs
Rhyis Ifans
Meredith
Alfonso Cassini
Glenn Cannon
Veda Ann Borg
Gabe Kaplan
Vera Alentova
Julie Bovassa
Joyce Bland
Christopher Paul Ford
Anna Duperey
Jean Moore
Alexander Knox
Samson Jorah
Margaretta Scott
Julie Bovasso
Suzanne Christian
Penny Singleton
Lock Martin
Warrick Hogan
Nicoletta Braschi
Dolly Walker
Alec Guinness
Tyler McEvey
Lance Kinsey
Dennis OKeefe
Roger Daltrey
Marisa Parades
JeanIves Dubois
Louis Nye
Jack McGee
Estelle Eonnet
Hilton McRae
George Hayes
Roger Daltree
Howard Gaye
Gilbert Sicotte
Logan Ramsey
Cedric the Entertainer
Tiffany Bolling
Imaelda Staunton
Alec Baldwin
Dimitrje Vosnov
Yvette Mimiieux
Carla Ziegfeld
Dan Dailey
Neve Campbell
Samson Burke
Donald Novis
Jennifer Bassy
John Larkin
Massimo Serrato
Jaqueline Sassard
John Getz
Robin Nedwell
Bela Lugosi
Irine Cara
David Canary
Sully Boyar
Mira Sorvino
Marilu Toto
Vince Barnett
Theresa Russel
Larry J. Blake
Puppela Maggio
Luis Bunuel
Doug Cooeyate
Mira Sorvina
Lou Richard Phillips
Lee Bowman
Gert Froebe
Bob Gunton
Peter Gonzales
Frank deKova
Vasek Simek
Kathleen Howard
Tony Danza
Jane Hylton
Mary McDonnell
Adam Williams
Herbert Gronemeyer
Kevin Conroy
Gertrude Fridh
Kathryn Leigh Scott
Louise Campbell
Ral Donner
Carol Forman
Frddie Jones
Sam Levine
Yuri Borienko
Tony Franciosa
Buster Crabbe
Ken Hutchinson
Edmund Ryan
Patricia Breslin
Bramwell Fletcher
Dorothy Privine
Michael Kearney
Barbara Ferris
Franklin Dyall
Tony Francioso
Ian McDiarmid
Anna Lee
Gail OGrady
Tovah Feldschuh
Marlene Dietrich
Gladys Coioper
Audrey Meadows
David Hutchinson
Gloria foster
Phyllis Povah
Paul Sanchez
Linda Kerridge
Victor Francen
Vince Kelly
HansChristian Blech
Victor Frances
Marlon Brando
Edward Ellis
Gedde Watanabe
Roy Poole
Coral Browne
Lulu
Jayne Regan
Chuck McCann
Carleton Young
Gina Lollobridgida
Barry Moore
Fionulla Flannegan
Clotilde Delano
Marie La Forette
Lumsden Hare
Ruth Dwyer
Fred Hess
Patricia Morison
David Miller
Gale Garnett
Blanchette Brunoy
Stephen Chase
Katherine Cassavetes
Marjorie Reynolds
David Spade
Costa Kazakos
Kathy Baker
Toni Plana
Martin Landau
Sergei Stolyarov
Jackie Paley
John C. McGuiley
Jacques Martial
William Holden
Richard Bradford
Caterina Sylos Labini
Gerald Barray
Benoit Ferreux
Herbert Rawlinson
James Crowell
Richard Wodsworth
Ricou Browning
John Bleifer
Peggy Ann Gardner
Rudolph Valentino
Robert Gunner
Lars Ekborg
David Ackroyd
Louise Carter
Gosta Ekman
Michael SaintDenis
St\'ephane Audran
Percy Helton
Joy Lee
Nicolas Giraudi
Ronnie Schell
Marjorie Main
Robert Guillaume
Maud Eburne
Friedrich Gnass
Murvyn Vye
Forrest J. Ackerman
Diane Salinger
Larry King
Harold Kaskel
Anna Massey
Joie Lee
Fay Spain
Michael Gambon
Emley Lloyd
Michael Redgrave
Irene Hervey
Elizabeth Spriggs
Audrey Young
Victoria Shaw
James Wooden
Frank Middlemass
Otto Lederer
Gila Golan
Chloe Webb
Jean-Marie McKerr
Eva Marie Saint
Dora Bryan
Fran Lebowitz
George Bancroft
Nora Guthrie
James Booth
Julie Brown
Mary Martin
George Jessel
Woody Strode
William Royle
Hugh Herbert
Ivan Lendl
Denny Miller
Patricia Colinge
Kyle MacLachlan
John Cording
Irving Kristol
Ernest Menzer
Gel Li Parmaren
Pat Priest
Tyler Brooke
Raven Gray Eagle
George Cleveland
William D
Anne Archer
Kenny Moore
Rene Hofschneider
Gene Bua
Griff Barnett
Dolores Fuller
Rosalba Neri
